algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.0820,9592,8
QuickSort,random,1000,0.2493,10960,6
QuickSelect,random,1000,0.0113,2971,10
MergeSort,sorted,1000,0.0333,4236,8
QuickSort,sorted,1000,0.0328,10623,7
QuickSelect,sorted,1000,0.0055,3127,11
MergeSort,duplicates,1000,0.0579,9089,8
QuickSort,duplicates,1000,0.1203,4064,2
QuickSelect,duplicates,1000,0.0207,2508,4
MergeSort,random,10000,0.8833,127023,11
QuickSort,random,10000,1.5970,151257,8
QuickSelect,random,10000,0.3351,35903,16
MergeSort,sorted,10000,0.5036,59248,11
QuickSort,sorted,10000,0.3812,157663,8
QuickSelect,sorted,10000,0.0351,24726,20
MergeSort,duplicates,10000,0.9624,121923,11
QuickSort,duplicates,10000,0.1285,33790,2
QuickSelect,duplicates,10000,0.0744,36272,6
MergeSort,random,100000,6.1724,1639183,14
QuickSort,random,100000,7.3060,1937773,12
QuickSelect,random,100000,0.7645,418623,21
MergeSort,sorted,100000,1.6607,744016,14
QuickSort,sorted,100000,4.9664,1982673,11
QuickSelect,sorted,100000,0.4342,269651,18
MergeSort,duplicates,100000,3.5023,1561600,14
QuickSort,duplicates,100000,1.1309,310807,2
QuickSelect,duplicates,100000,0.8356,269593,5
MergeSort,random,1000000,75.3371,19888261,18
QuickSort,random,1000000,87.0975,24138166,13
QuickSelect,random,1000000,7.3479,2014721,21
MergeSort,sorted,1000000,22.5766,9071040,18
QuickSort,sorted,1000000,60.7842,26173955,12
QuickSelect,sorted,1000000,4.0114,4160922,31
MergeSort,duplicates,1000000,39.5766,18921233,18
QuickSort,duplicates,1000000,10.9718,3298320,2
QuickSelect,duplicates,1000000,6.8801,2000730,4
